,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23
Ticker,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX
MUFG 8.2 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GPK 3 3/4 02/01/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.82434,100.6981,96.37901,95.58695,93.46647,87.0985,86.61694,87.18135,89.15942,87.94035,82.62946,85.49826,86.15432,85.38448,87.35909
ADNT 7 04/15/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FCX 4 5/8 08/01/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,107.3181,107.1774,105.7804,107.3641,111.2509,110.6235,111.1355,111.0762,108.761,110.2384,110.0317,109.3951,110.0189,110.3178,107.9418,108.1997,105.3395,107.6775,104.2491,103.0475,102.1096,97.08107,96.97211,93.02618,96.30575,92.48308,88.15811,88.48555,92.70119,93.54132,96.07774
BDN 4.55 10/01/29,112.9102,115.4776,107.0043,107.135,101.1839,105.2491,107.3547,107.0409,106.6017,106.4124,109.1231,111.9646,110.6923,108.7661,106.1022,109.1335,111.2932,111.2932,114.0541,113.257,111.9856,111.2195,111.0791,111.3792,108.8972,106.7423,103.4555,99.0124,98.96942,95.14005,95.14005,95.14005,95.14005,95.14005,89.42039,84.1468,85.74601
LVS 3 1/2 08/18/26,104.6051,104.6643,92.61118,95.19621,97.44466,99.9998,100.4512,102.0982,101.364,101.2273,105.0485,107.3063,106.0011,105.9403,104.0713,105.1015,105.7403,106.4058,105.7184,105.0183,102.6594,102.4808,101.8836,101.5815,100.7586,97.21075,94.67286,91.12288,91.454,87.18801,93.57125,89.98118,87.88698,87.27718,91.32501,90.39614,93.21455
CNP 3.36916 09/15/29,60.63348,57.02421,48.61737,53.55031,56.43859,53.68834,57.9215,60.23196,60.40302,57.66049,61.13393,61.88322,59.4168,58.81465,60.73589,65.03642,64.97917,64.68412,66.38135,70.8681,65.10162,60.76302,57.10726,58.95694,55.97195,55.07273,51.70203,44.82579,50.7223,47.20037,44.12008,41.31006,33.04001,39.18436,41.32312,36.54906,41.92977
CWENA 3 3/4 02/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,96.03159,98.96773,97.32844,99.43918,100.5674,101.7258,100.9795,100.3156,98.72111,100.3873,94.4511,93.57962,93.7011,86.06353,88.23226,81.89071,87.77183,84.89815,78.53084,83.86435,85.02348,83.41782,84.70335
RKTRM 3 7/8 03/01/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.1274,98.50964,101.9691,103.9869,101.5987,99.41127,96.52431,97.70491,98.24606,100.434,102.041,102.5288,101.2633,98.92809,98.66542,101.894,93.82079,93.87036,90.30765,84.41018,84.64706,75.66814,83.58724,78.01341,73.02502,74.59554,78.31019,76.91621,81.48457
FMGAU 5 7/8 04/15/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.468,98.338,91.106,94.14,93.259,87.22,89.5555,92.729,94.6015,97.2955
CHTR 2 1/4 01/15/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.28829,97.03949,97.97736,94.32298,93.1183,90.16253,85.27852,85.25574,82.36932,85.52674,82.1648,78.05071,78.84901,82.19461,80.64441,83.81634
