,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23
Ticker,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX
MUFG 8.2 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
F 6.1 08/19/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,97.42567,87.90518,92.03996,96.60911,92.85341,97.99986
C 7 5/8 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AAL 5 1/2 04/20/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.2452,105.1353,105.6708,106.3337,104.6512,105.4611,105.2432,105.0101,102.3337,104.0112,102.1506,102.5461,100.3833,99.05598,98.9819,92.15372,98.70985,95.34341,93.94083,95.36324,97.18638,96.37823,98.10535
F 7.122 11/07/33,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
F 6.8 05/12/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
LNGFOR 3 3/8 04/13/27,#N/A N/A,102.3325,101.1487,95.37044,97.73222,100.8523,103.0208,103.2632,103.1284,102.7568,103.9875,104.7686,105.6714,105.0405,103.867,104.3855,104.9449,105.1668,104.9906,105.0283,102.9511,101.0541,100.4019,101.0541,96.82425,94.62942,91.03201,90.78937,89.32107,80.32161,73.98164,81.10503,73.93833,27.00014,76.16972,80.34978,88.30656
WRLDPY 7 1/2 01/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
UBS 7 PERP,110.049,106.692,93.793,102.745,103.629,104.407,106.88,108.716,107.151,107.783,109.806,109.617,109.742,109.537,109.637,110.536,110.391,110.501,110.225,110.061,109.221,108.644,107.05,107.568,105.67,104.31,104.515,101.933,102.431,97.969,101.998,98.191,95.384,97.096,98.764,99.039,99.76
F 3 1/4 02/12/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.2157,102.2052,95.6101,94.1563,89.3161,81.08578,84.47243,74.53704,83.39014,78.18739,71.75517,75.52515,79.23605,75.03966,79.44389
F 6.798 11/07/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DB 4.789 PERP,97.975,93,64.95,66.75,68.055,74.555,80.45,83.75,81.25,83.325,94,95.155,92.24,95.95,96.737,99.48,99.25,100.47,99.7,100.9,101.055,100.5,98.1732,99.156,97.8,94.555,92.5,89.504,89.775,82.65,83.76,80.928,78.75,75.092,84.02,84.08,90.45
BACR 8 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,96.562,88.63,89.5,94.25,94,102.867
LNGFOR 3.95 09/16/29,102.6558,103.1645,91.17898,96.94007,100.9732,103.9062,107.6784,106.5299,106.8577,106.2307,108.6997,108.6612,109.3864,108.8447,104.8216,105.2878,106.3277,107.9062,106.8621,106.85,104.3619,102.7958,101.9096,103.2681,97.51708,92.56671,89.85847,88.75362,85.1059,75.11283,70.19444,75.31528,68.70755,19.82649,69.87029,72.78196,82.91227
WDC 4 3/4 02/15/26,106.8091,103.5277,101.5214,102.447,105.2567,103.6484,108.9452,108.1584,108.2208,107.8828,109.388,111.1275,111.0326,110.7291,110.4072,110.9452,111.458,111.2228,111.2683,111.6788,111.0169,109.9408,108.1139,109.5886,105.3047,103.8712,101.8913,99.34187,99.99339,95.60561,99.04675,96.26302,92.64854,93.18181,94.80358,94.3211,97.01609
VNOM 7 3/8 11/01/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BBVASM 9 3/8 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
F 4 3/4 01/15/43,93.66435,85.85994,57.12397,64.75434,75.946,79.98074,91.53565,92.73847,90.56703,91.58611,97.96326,101.673,101.5121,100.8744,99.47993,101.5134,101.6255,106.3571,110.0768,107.8025,104.9871,109.5326,107.361,110.8894,102.2131,97.33904,90.64941,80.24774,81.87929,71.76431,83.04046,74.80184,66.74064,69.86932,74.46948,72.29459,78.18534
F 5.291 12/08/46,98.24135,91.53687,60.36256,68.96002,78.99743,83.23546,96.02039,95.54456,93.74545,94.14819,100.8394,104.1957,105.4526,106.2454,105.0359,106.0259,106.8214,111.3778,114.3949,112.8163,111.5203,114.8522,113.0843,117.2927,109.7545,102.6754,97.47728,86.05105,88.05593,76.68666,86.3918,80.40827,71.50876,74.34917,79.88783,77.90475,83.58566
MPW 5 10/15/27,105.8988,104.618,96.07853,101.9497,103.5384,103.035,107.6292,105.9474,104.5813,104.6426,105.9622,106.6035,105.9378,106.1546,105.3996,105.8137,105.6378,106.1247,105.9906,106.0096,105.6746,105.4789,104.6225,104.8232,103.2282,102.0949,101.8801,96.1219,99.91383,91.59846,96.62587,89.95541,86.33056,85.18939,85.60401,85.21481,84.90174
F 4.346 12/08/26,104.3054,100.8096,78.84708,79.83828,87.63799,93.98878,101.9101,100.3921,98.99704,102.0063,105.0487,106.4601,106.6764,106.3701,105.1802,106.17,106.4037,107.4856,108.0803,107.7401,106.7187,107.0156,106.2802,109.1735,103.8515,102.3379,100.8107,96.39914,97.45766,93.22784,99.24837,96.27187,92.2847,93.35065,95.92533,95.14978,97.36392
BACR 8 PERP,112.898,110,91.701,99.625,102.625,104.7,106.375,109.45,104.75,107.3007,111.738,111.918,112.125,112.88,112,113.55,113.617,114.369,113.905,113.8977,113,112.17,109.6,111.028,108.9,107.125,106.1224,102.9924,104.227,98.25,103.25,98.582,92.765,94.625,96.49,97.94,100.125
F 7.2 06/10/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JAZZ 4 3/8 01/15/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.2617,103.0099,103.7673,104.3035,103.8958,104.0762,103.0245,102.0205,103.6336,99.15965,99.10777,97.09235,92.42242,96.42921,89.25174,96.36678,90.12057,86.11552,89.00937,90.70882,89.40319,91.46878
RCL 11 1/2 06/01/25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,105.9437,104.3178,110.3212,115.9715,115.9883,114.4334,117.5448,116.9858,115.5735,117.1435,116.7261,116.0249,115.8215,115.5476,114.5625,115.262,114.2953,113.8384,111.7091,112.6336,110.7286,110.6674,110.0131,108.8829,108.5504,102.8921,106.8009,105.9261,106.2845,107.5747,107.3503,107.6008,107.4714
DTV 5 7/8 08/15/27,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,103.4779,104.6019,104.4547,103.9242,101.7598,102.4193,100.4929,100.1242,98.56537,94.14611,94.59261,85.95888,93.55126,91.7192,86.1806,90.13136,91.73206,89.65859,90.85802
F 3 3/8 11/13/25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.8312,102.436,102.0718,101.7318,101.6678,102.6136,102.8769,103.6286,104.5792,103.7314,103.0362,102.7448,102.2988,103.9068,100.0967,99.0589,97.46655,94.25589,96.01653,90.24043,94.90107,91.54272,88.44392,90.94231,92.78772,90.90017,93.37268
TIGO 4 1/2 04/27/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.4909,107.9567,108.1758,106.3731,107.0975,104.1507,106.6508,104.833,104.2019,104.5944,104.5293,104.6674,103.2245,99.72849,101.4562,97.42171,93.31488,93.74242,86.77419,86.39262,74.14023,82.26781,82.79951,71.24052,75.28764,82.70803,84.46573,84.75468
HESM 4 1/4 02/15/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.4406,101.477,99.88607,96.97457,100.0909,96.80179,96.63786,94.506,91.82177,92.77097,83.92254,89.29526,86.43193,81.33103,85.62041,86.77036,85.9796,87.8716
AAL 5 3/4 04/20/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.5254,107.3091,107.3258,108.1612,108.3593,107.7865,108.0994,107.7278,104.5051,107.3901,102.5028,102.6744,99.65957,96.48724,96.93984,85.75542,96.17785,90.2542,87.18369,91.2896,93.39004,91.54098,96.97977
F 7.45 07/16/31,120.7899,112.9465,73.66618,85.54725,99.067,105.4545,119.2292,116.708,114.9023,118.7429,125.5015,128.847,128.1634,130.7671,125.6412,128.8484,127.0528,131.7202,132.7378,131.49,130.8003,132.5319,133.5457,135.3026,127.1107,123.9836,118.1948,108.9467,112.9616,102.1068,109.64,106.2516,98.4782,100.9276,105.8638,103.9774,107.5103
SOCGEN 9 3/8 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.939,103.157,107.402
UBS 7 PERP,114.217,111.421,97.083,107.849,109.666,110.591,112.136,113.593,111.651,111.829,114.176,114.114,114.119,114.887,114.48,115.531,115.465,115.68,115.479,115.162,114.154,112.627,110.948,111.386,109.1,106.499,106.236,102.116,103.931,99.551,104.321,101.272,95.343,97.025,99.433,99.208,101.141
F 7.35 11/04/27,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.5596,102.6131,104.9181
NEP 4 1/2 09/15/27,106.2662,104.2732,95.91569,102.1956,106.6079,105.1187,109.9971,109.2719,107.8619,109.5403,110.067,111.819,111.0195,112.0831,108.1728,108.1743,109.1096,108.4219,108.1245,108.2271,108.0318,107.4873,106.2025,108.0861,102.0438,101.104,99.96523,95.25912,97.50491,93.89304,98.9451,92.46051,91.23332,92.77428,95.19857,91.98434,94.41213
F 7.35 03/06/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.8779
STANLN 7 3/4 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,97.488,91.07,91.669,95.433,99.05,102.337
ENFRAG 5 3/8 12/30/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,105.1513,101.2172,100.8792,98.29927,99.54565,99.34933,99.68886,100.1138,99.45555,98.52565,96.04487,93.08778,92.08266,88.40002,81.35388,69.47256,71.64876,70.42928,68.95399,68.35557,69.76611,59.56668,51.02888,67.2635,70.16338,71.93395
WH 4 3/8 08/15/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.02,97.08768,99.3618,102.6566,104.067,101.4754,102.4702,101.0827,103.4502,102.3515,103.7992,103.5721,103.6008,104.4905,103.507,100.7506,103.2068,99.3869,99.05384,96.27085,93.2514,95.00174,87.94943,92.5489,89.54543,87.72353,88.1855,90.4551,89.85558,92.92642
C 7 3/8 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NATURA 4 1/8 05/03/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.5719,102.7853,102.562,102.6197,102.6519,101.3104,99.21115,95.45493,98.44245,97.48036,95.12017,96.22577,89.49988,90.96381,83.27525,84.31837,83.07571,78.40598,78.16682,79.8608,81.93347,82.72688
LNGFOR 3.85 01/13/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.594,104.7001,104.2969,104.2674,106.8072,107.74,107.7772,106.7879,102.9713,103.7244,104.4778,105.7175,104.8183,104.9633,102.3607,100.0789,99.78664,101.8436,95.04347,89.40749,85.16925,83.79348,80.75609,70.1694,65.95408,72.15764,63.74949,18.73568,65.99588,68.16582,77.30914
EIX 5 3/8 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.88,103.75,101,101.71,102.9,102,103.655,103.805,104,105.01,101.875,98.625,96.875,91.5,88.35,82.9,91.9625,89.5,82.25,81.59,86.774,82.25,95.917
SANTAN 7 1/2 PERP,110.25,107.25,89.53,97.83,103.62,104.25,104.5,106.85,106.155,106.5,110.125,110.48,110.65,109.837,109.75,110.3,110.0627,110.395,109.85,110.25,109.29,108.465,107.008,108.312,106.625,103.855,104.324,100.9929,103.157,97.8081,100.22,98.5,93.458,94.989,97.585,98.1,99.705
EIX 5 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.5,104.25,99.618,95.99875,94.5,91.5,86.5,79.75,84.83,89.5,79.875,81,82.75,84.138,88.909
CHTR 3 1/2 03/01/42,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,97.56532,97.19076,97.06503,89.69239,86.28641,83.27081,72.72353,74.73096,69.83242,73.09628,69.12148,63.08093,62.63651,68.0796,64.74461,69.43692
MPW 5 1/4 08/01/26,105.6271,104.4189,99.0278,101.1594,103.6205,103.6534,105.5409,105.3511,102.5401,103.0946,104.7792,104.6917,103.7716,103.8815,103.6465,103.2997,103.2935,103.0683,103.0416,103.1945,103.1249,103.0753,102.793,103.0698,102.89,102.2135,102.4881,100.4254,101.3432,95.07938,98.01774,96.24002,92.31181,89.91042,90.61585,91.35537,91.21281
SOCGEN 7 7/8 PERP,113.48,111,91.25,99.1,98.377,105.08,106.919,108.73,104.8,106.49,110.49,110.52,110.3,110.625,111.24,111.925,111.63,111.782,111.76,111.125,110.449,110.18,108.8919,109.14,107.7465,106.246,105.0891,102.2525,103.057,99.431,100.345,99.1258,95.875,97.7,98.46,97.961,100.628
UAL 4 5/8 04/15/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,103.8404,103.7151,103.5429,103.2352,103.8396,103.6192,103.1619,99.74332,103.5097,99.55529,97.64508,95.17403,91.90907,94.13314,84.72693,92.18238,87.6216,82.92936,85.52334,89.89575,87.06398,91.275
F 5 1/8 06/16/25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.84946,106.5572,105.1162,103.0209,104.5156,108.0292,108.8307,109.0044,108.2,108.0294,109.3423,109.5458,110.2336,110.2825,109.8896,108.6778,108.7054,107.9612,109.0239,105.2207,104.2559,102.3269,99.35028,100.1572,96.47238,99.91111,97.45918,94.48463,96.54424,97.70554,96.54121,98.10212
STYRO 3 3/8 01/15/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.6639,100.2029,99.84407,100.1293,100.1923,101.3629,100.8181,101.0686,101.2726,99.53615,99.11229,100.2629,98.02937,96.42899,92.60841,91.00944,93.34035,83.90208,88.44183,88.34647,83.49132,84.36076,89.2466,90.39463,91.85876
TELEFO 4.95 07/17/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.9961,106.156,103.9355,106.4494,111.0228,111.3398,108.1028,107.7296,104.4913,105.7094,103.6022,103.9697,104.6793,105.8703,105.4507,103.0508,100.7621,99.92938,95.96173,91.99162,92.01245,90.08739,88.01406,79.18415,78.10702,83.63297,75.33081,70.61415,79.47878,80.62302,87.58982
F 6.95 06/10/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VOD 7 04/04/2079,118.2256,115.1846,106.7535,114.6014,116.1623,117.7721,120.0905,120.7228,118.5647,118.3697,123.1945,124.9754,124.741,120.3808,120.404,121.8812,120.6425,121.1692,123.9948,123.623,122.7185,120.8857,120.0344,120.411,115.4758,110.6988,110.5076,105.6231,104.675,98.13798,105.3408,103.2947,95.17559,96.12243,99.96658,100.9391,103.0094
F 0 03/15/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.1306,99.4082,110.468,110.6551,107.0904,103.758,108.25,118.606,130.4289,137.5417,135.668,122.1179,119.0838,106.8452,104.378,91.7265,106.6463,109.427,92.7,101.0931,103.25,94.718,101.7673
OGN 4 1/8 04/30/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.6316,100.9515,102.1472,102.7456,103.2713,102.3047,101.3443,99.86075,102.5899,98.79584,98.35431,95.60626,92.93248,95.89009,88.69296,95.30203,89.47824,85.23076,88.28291,90.26845,88.59245,90.75499
